Problem Name	Problem Link	Topic	Solution Link	Difficulty
Contains Duplicate	https://leetcode.com/problems/contains-duplicate/	Arrays & Hashing	https://www.youtube.com/watch?v=c_q_Pc2yg_0	Easy
Valid Anagram	https://leetcode.com/problems/valid-anagram/	Arrays & Hashing	https://www.youtube.com/watch?v=qyQni3rz-ko	Easy
Two Sum	https://leetcode.com/problems/two-sum/	Arrays & Hashing	https://www.youtube.com/watch?v=NP9nLwKzXGA	Easy
Group Anagrams	https://leetcode.com/problems/group-anagrams/	Arrays & Hashing	https://www.youtube.com/watch?v=dEMcIpBOHpg	Medium
Top K Frequent Elements	https://leetcode.com/problems/top-k-frequent-elements/	Arrays & Hashing	https://www.youtube.com/watch?v=QubWUx59QCk	Medium
Product of Array Except Self	https://leetcode.com/problems/product-of-array-except-self/	Arrays & Hashing	https://www.youtube.com/watch?v=UxmLwxH-lhM	Medium
Valid Sudoku	https://leetcode.com/problems/valid-sudoku/	Arrays & Hashing	https://www.youtube.com/watch?v=q2fl7lUkc8o	Medium
Encode and Decode Strings		Arrays & Hashing	https://www.youtube.com/watch?v=P5LQbpI4p_I	Medium
Longest Consecutive Sequence	https://leetcode.com/problems/longest-consecutive-sequence/	Arrays & Hashing	https://www.youtube.com/watch?v=sJBf-JdWGhM	Medium
Valid Palindrome	https://leetcode.com/problems/valid-palindrome/	Two Pointers	https://www.youtube.com/watch?v=MFPmKyThyHk	Easy
Two Sum II Input Array Is Sorted	https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/	Two Pointers	https://www.youtube.com/watch?v=c9ywRRJcP1Y	Medium
3Sum	https://leetcode.com/problems/3sum/	Two Pointers	https://www.youtube.com/watch?v=WtloSzFYvho	Medium
Container With Most Water	https://leetcode.com/problems/container-with-most-water/	Two Pointers	https://www.youtube.com/watch?v=wi8fqhNoV-Y	Medium
Trapping Rain Water	https://leetcode.com/problems/trapping-rain-water/	Two Pointers	https://www.youtube.com/watch?v=AFl_VxaO_F0	Hard
